,Date,Total,MR,PW,PW+,Lief,Lief+,Lief+Aufl.,LW,LW+,Sattelzug,Bus,andere,Station Count,Number of Measurments
70,03.01.2021,143736,2444,133003,55,5164,30,7,364,87,175,2347,60,31,1536
71,03.02.2019,248966,2394,234031,111,8211,48,23,518,45,160,3254,171,31,1608
72,03.02.2020,383832,8698,327805,253,31303,369,251,6540,737,3227,4414,235,31,1584
73,03.02.2021,299963,5743,250486,260,28178,403,212,6138,938,3502,3934,169,31,1512
74,03.03.2019,252225,5969,233504,177,8228,65,33,501,116,163,3326,143,31,1584
75,03.03.2020,352767,8140,301323,298,27347,398,237,6303,922,3346,4274,179,31,1584
76,03.03.2021,311171,10061,256447,343,28053,448,208,6553,990,3673,3934,461,31,1512
77,03.04.2019,410384,9636,348938,294,31813,512,231,7950,1296,4046,5064,604,31,1584
78,03.04.2020,228801,8361,184434,240,23301,342,170,5800,633,2472,2898,150,31,1584
79,03.04.2021,235103,6562,212168,290,10197,141,26,1273,252,737,3297,160,31,1512
80,03.05.2019,419594,11626,358986,395,30918,522,284,7137,1086,3317,4664,659,31,1536
81,03.05.2020,119705,5979,106540,52,4344,22,2,269,41,177,2212,67,31,1536
82,03.05.2021,337065,12908,277577,354,30127,493,202,7079,1012,3359,3710,244,31,1536
83,03.06.2019,387304,17519,320361,475,31641,617,217,7621,1061,3309,4057,426,31,1536
84,03.06.2020,291533,14510,234822,289,26884,441,197,6616,939,3097,3470,268,31,1512
85,03.06.2021,367401,15714,304349,405,30874,496,240,7000,1030,3467,3460,366,31,1536
86,03.07.2019,388506,20188,318038,448,32508,656,202,7559,1079,3408,4055,365,31,1560
87,03.07.2020,361718,15744,303174,425,28147,534,199,6585,704,2506,3464,236,31,1512
88,03.07.2021,323826,10056,292168,499,14794,184,26,1510,245,700,3492,152,31,1536
89,03.08.2019,276672,11305,245925,512,12367,213,65,1593,308,538,3528,318,31,1560
90,03.08.2020,339157,11027,286048,394,27526,460,186,5894,764,2665,3829,364,31,1512
91,03.08.2021,334569,10261,282332,393,27187,480,131,5913,803,2931,3979,159,31,1512
92,03.09.2019,375410,18655,309311,351,30208,547,204,7246,973,3315,4088,512,31,1536
93,03.09.2020,354209,18469,291995,417,28665,407,222,6258,896,2925,3688,267,31,1536
