,Date,Total,MR,PW,PW+,Lief,Lief+,Lief+Aufl.,LW,LW+,Sattelzug,Bus,andere,Station Count,Number of Measurments
304,10.01.2019,391347,6768,340228,215,28865,369,179,6077,864,3074,4404,304,30,1608
305,10.01.2020,404649,9660,351370,300,28077,387,169,5857,891,3001,4572,365,30,1584
306,10.01.2021,161053,2472,149414,94,5714,50,9,355,45,154,2712,34,30,1584
307,10.02.2019,252027,2945,236321,132,8361,49,33,581,55,148,3217,185,30,1608
308,10.02.2020,369268,6033,316920,227,30424,338,188,6122,761,3025,5011,219,30,1584
309,10.02.2021,275394,1125,231313,161,27544,334,218,6640,798,3214,3845,202,30,1512
310,10.03.2019,245737,3076,229725,198,8405,104,18,615,72,180,3215,129,30,1584
311,10.03.2020,364585,8424,309381,283,30337,407,207,6780,880,3395,4275,216,30,1584
312,10.03.2021,314789,10025,260142,277,28366,473,218,6701,935,3597,3865,190,30,1512
313,10.04.2019,400893,11453,339859,378,31283,529,251,7319,1247,3828,4388,358,30,1536
314,10.04.2020,111188,6741,96296,43,4351,99,10,536,163,492,2373,84,30,1584
315,10.04.2021,255151,8797,228386,313,11683,148,23,1410,305,783,3164,139,30,1512
316,10.05.2019,419272,12883,355738,451,31859,515,238,7637,1211,3553,4701,486,30,1536
317,10.05.2020,137306,7184,122418,60,4768,12,4,318,50,162,2247,83,30,1512
318,10.05.2021,330194,9694,274864,353,29476,481,226,6718,1020,3285,3782,295,30,1536
319,10.06.2019,263316,3966,242724,342,11736,136,40,794,115,263,3004,196,30,1536
320,10.06.2020,305311,12230,251352,244,26895,430,203,6475,812,2994,3462,214,30,1512
321,10.06.2021,382204,16761,315733,369,32472,579,205,7252,1023,3816,3744,250,30,1536
322,10.07.2019,367848,18417,301606,489,30524,548,204,7250,1042,3556,3846,366,30,1560
323,10.07.2020,353338,16669,294203,449,28040,498,211,6126,774,2576,3502,290,30,1512
324,10.07.2021,318360,10683,284803,777,15102,322,39,1572,318,1038,3542,164,30,1536
325,10.08.2019,324536,10437,292170,507,14571,205,60,1735,339,541,3562,409,30,1560
326,10.08.2020,335353,18427,275965,404,26664,481,198,5864,864,2539,3635,312,30,1512
327,10.08.2021,345724,17490,284703,464,27962,520,212,6421,837,3022,3866,227,30,1512
328,10.09.2019,377397,17650,312296,398,30316,496,236,7146,963,3412,4088,396,30,1536
329,10.09.2020,360193,19012,296915,416,28630,546,228,6375,907,3169,3728,267,30,1536
330,10.09.2021,392376,14148,329853,503,31685,535,264,7107,937,2995,4095,254,30,1512
331,10.10.2019,384005,12126,324300,402,30862,525,206,6692,1023,3358,4185,326,30,1536
332,10.10.2020,293007,5977,268313,320,12662,182,30,1247,226,600,3259,191,30,1536
333,10.11.2019,276418,4891,256540,149,10367,75,25,695,93,237,3181,165,30,1584
334,10.11.2020,320846,12178,264250,327,28914,467,180,6550,893,3240,3634,213,30,1536
335,10.12.2019,406308,10271,345854,284,32288,461,223,7393,1032,3596,4494,412,30,1584
336,10.12.2020,324630,7511,273070,278,28494,445,201,6499,1007,3299,3607,219,30,1536
337,11.01.2019,411585,7158,359629,223,29407,368,183,6181,774,2803,4477,382,30,1608
338,11.01.2020,325936,5970,299938,313,13026,126,32,1470,243,732,3937,149,30,1584
339,11.01.2021,301056,6304,252919,277,27243,398,182,5723,796,2963,4050,201,30,1584
340,11.02.2019,392450,7921,336728,315,30965,367,217,7126,847,3230,4397,337,30,1608
341,11.02.2020,391279,7552,335988,237,30794,375,233,6437,909,3568,4924,262,30,1584
342,11.02.2021,289080,1442,244366,215,28148,355,202,6306,699,3241,3954,152,30,1512
343,11.03.2019,317637,5770,276804,280,20547,360,154,4837,816,3117,4730,222,30,1584
344,11.03.2020,363702,12491,305932,300,29579,431,181,6290,914,3240,4106,238,30,1584
345,11.03.2021,316040,7641,263756,296,28576,485,221,6590,910,3542,3884,139,30,1512
346,11.04.2019,406540,12113,344666,404,31001,505,236,7601,1256,3933,4446,379,30,1536
347,11.04.2020,149231,7981,128478,139,7627,89,24,1203,161,625,2800,104,30,1584
348,11.04.2021,183097,4983,167906,86,6553,38,7,571,128,307,2459,59,30,1512
349,11.05.2019,338962,7187,308762,374,14538,189,74,1694,506,870,4466,302,30,1536
350,11.05.2020,266460,7066,219611,206,25894,443,214,5501,724,2940,3596,265,30,1512
351,11.05.2021,341710,8391,286545,285,30009,494,206,6964,969,3800,3796,251,30,1536
352,11.06.2019,409079,12682,344249,505,34389,583,214,7463,934,3493,4146,421,30,1536
353,11.06.2020,307036,13419,252782,246,26570,373,193,5966,850,3167,3213,257,30,1512
354,11.06.2021,391525,17852,325160,421,32022,473,196,7113,999,3241,3801,247,30,1536
355,11.07.2019,377555,16427,312527,538,31419,565,229,7209,953,3384,3945,359,30,1560
356,11.07.2020,281705,11138,252132,465,12377,159,26,1316,240,638,3046,168,30,1512
357,11.07.2021,241336,8779,218632,495,9319,233,18,636,128,219,2802,75,30,1536
358,11.08.2019,250860,8730,227998,363,9368,130,20,643,180,204,2848,376,30,1560
359,11.08.2020,342344,19069,281594,377,27145,426,211,6185,796,2605,3611,325,30,1512
360,11.08.2021,349727,17935,288014,512,28005,457,199,6622,907,2892,3906,278,30,1512
361,11.09.2019,381045,17840,315567,368,30694,500,252,7091,1006,3303,4006,418,30,1536
362,11.09.2020,375059,17971,312516,475,29558,466,205,6326,914,2595,3747,286,30,1536
363,11.09.2021,328288,10866,295392,382,14936,198,42,1549,312,649,3691,271,30,1512
364,11.10.2019,401220,14393,339137,442,31054,554,241,6835,939,3019,4186,420,30,1536
365,11.10.2020,222221,4772,205806,160,8004,77,14,595,110,147,2480,56,30,1536
366,11.11.2019,395724,11360,334691,407,32385,613,236,7432,998,2682,4547,373,30,1584
367,11.11.2020,320024,11597,266254,277,28660,529,226,6203,702,1726,3634,216,30,1536
368,11.12.2019,405925,8806,345773,306,32552,472,221,7632,1066,3959,4611,527,30,1584
369,11.12.2020,338939,6902,288341,271,28977,468,191,6083,852,2990,3651,213,30,1536
370,12.01.2019,321868,4039,298314,258,12573,82,50,1485,212,689,3936,230,30,1608
371,12.01.2020,244048,3695,227704,141,8443,78,18,480,80,168,3187,54,30,1584
372,12.01.2021,305042,5728,256420,219,27478,346,234,6082,869,3449,3970,247,30,1584
373,12.02.2019,397422,9117,339738,350,31201,417,193,7413,937,3414,4307,335,30,1608
374,12.02.2020,398494,9635,340269,249,31288,396,221,6805,991,3528,4833,279,30,1584
375,12.02.2021,306589,2249,261825,219,27865,339,170,6188,709,2877,3967,181,30,1512
376,12.03.2019,364385,8807,310724,293,27791,400,227,6591,1029,3722,4569,232,30,1584
377,12.03.2020,372529,12961,312882,316,30276,440,201,6719,917,3302,4279,236,30,1584
378,12.03.2021,330662,8998,277655,359,28441,512,198,6422,794,3162,3943,178,30,1512
379,12.04.2019,426613,13443,362765,496,31984,524,277,7165,1283,3521,4741,414,30,1536
380,12.04.2020,105655,5864,93421,28,3440,20,2,203,48,116,2449,64,30,1584
381,12.04.2021,312577,7660,259876,273,28813,504,200,6894,1025,3417,3708,207,30,1512
382,12.05.2019,281472,6819,258938,191,10065,114,43,799,300,298,3685,220,30,1536
383,12.05.2020,276311,10241,225191,241,26240,406,180,6042,851,3100,3563,256,30,1512
384,12.05.2021,360603,12035,302266,436,29801,570,237,6958,951,3365,3750,234,30,1536
385,12.06.2019,413351,15498,345585,428,33549,596,233,7622,1137,3952,4324,427,30,1536
386,12.06.2020,316337,16028,258790,274,27241,401,170,6236,798,2726,3370,303,30,1512
387,12.06.2021,315518,12755,282651,320,13641,159,36,1433,373,739,3227,184,30,1536
388,12.07.2019,394147,17485,327989,657,31596,699,228,7129,1060,3030,3913,361,30,1560
389,12.07.2020,213366,9475,193225,252,7192,123,6,418,111,123,2279,162,30,1512
390,12.07.2021,357161,13082,298216,493,29230,555,200,7119,860,3222,3988,196,30,1536
391,12.08.2019,372357,14590,311230,519,30301,463,230,6600,873,2971,4144,436,30,1560
392,12.08.2020,345618,18377,284879,422,27646,428,198,6182,778,2643,3802,263,30,1512
393,12.08.2021,358031,18610,295166,525,28514,604,166,6508,905,2909,3848,276,30,1512
394,12.09.2019,388312,18124,321399,368,31524,536,223,7178,1115,3266,4147,432,30,1536
395,12.09.2020,306181,12851,273362,429,13501,198,33,1413,273,653,3256,212,30,1536
396,12.09.2021,256655,9460,232441,286,10243,137,15,613,118,200,3015,127,30,1512
397,12.10.2019,329358,10213,297394,420,14488,215,65,1559,312,790,3584,318,30,1536
398,12.10.2020,346717,11599,290792,355,29568,517,236,5945,852,2867,3719,267,30,1536
399,12.11.2019,391903,11885,329006,367,32293,618,210,7781,1202,3745,4416,380,30,1584
400,12.11.2020,326966,12471,270605,346,28591,433,192,6322,917,3233,3686,170,30,1536
401,12.12.2019,415619,9586,354811,347,32906,476,243,7409,1103,3591,4724,423,30,1584
402,12.12.2020,246429,4396,224617,249,11791,100,36,1243,192,574,3148,83,30,1536
403,13.01.2019,235067,2568,220739,108,7568,53,21,465,65,147,3184,149,30,1608
404,13.01.2020,370939,9475,315181,275,30173,426,238,6331,929,3111,4519,281,30,1584
405,13.01.2021,307240,6343,258761,250,27118,325,178,5786,856,3407,4046,170,30,1584
406,13.02.2019,404396,9654,345509,323,31508,409,220,7650,1029,3418,4255,421,30,1608
407,13.02.2020,409511,8794,351294,286,31714,398,246,7054,899,3563,5019,244,30,1584
408,13.02.2021,213384,1541,195656,200,10396,92,8,1271,174,614,3364,68,30,1512
409,13.03.2019,357580,6631,308164,281,26243,399,197,6006,995,3813,4592,259,30,1584
410,13.03.2020,384516,12547,326147,366,29827,414,229,6735,845,2854,4286,266,30,1584
411,13.03.2021,247423,4321,225868,277,11178,134,22,1166,196,754,3419,88,30,1512
412,13.04.2019,345195,7701,314171,500,14544,203,63,1714,565,983,4494,257,30,1536
413,13.04.2020,108755,6254,94509,53,4354,78,13,514,106,344,2441,89,30,1584
414,13.04.2021,319822,9327,263542,332,29590,489,241,7613,1058,3679,3693,258,30,1512
415,13.05.2019,391426,15409,325858,387,31654,575,238,7708,1195,3694,4260,448,30,1536
416,13.05.2020,277837,7535,229539,200,26037,454,238,6047,723,3147,3665,252,30,1512
417,13.05.2021,214231,6420,194898,164,8073,74,11,608,273,1243,2399,68,30,1536
418,13.06.2019,414050,19235,342580,482,33888,572,236,7537,1063,3863,4228,366,30,1536
419,13.06.2020,227067,7801,203276,213,10683,97,22,1238,192,602,2826,117,30,1512
420,13.06.2021,245859,11030,221759,177,9041,96,15,534,200,244,2629,134,30,1536
421,13.07.2019,319363,14531,282473,653,14499,262,58,1737,350,747,3762,291,30,1560
422,13.07.2020,323009,16783,265187,422,26641,470,175,5968,844,2688,3575,256,30,1512
423,13.07.2021,358947,7825,303203,355,30650,494,190,7082,957,3975,4016,200,30,1536
424,13.08.2019,376355,18290,310828,487,30465,520,239,6996,974,3084,3977,495,30,1560
425,13.08.2020,355764,17599,295643,387,28022,392,193,6136,746,2535,3710,401,30,1512
426,13.08.2021,375294,18024,313252,609,28772,552,231,6245,843,2563,3940,263,30,1512
427,13.09.2019,408094,18158,340626,476,31873,582,239,7468,1021,3069,4192,390,30,1536
428,13.09.2020,246632,10630,223133,333,8735,111,19,574,141,215,2592,149,30,1536
429,13.09.2021,357659,17115,292730,459,31149,503,234,7020,903,3240,4094,212,30,1512
430,13.10.2019,267283,9200,243985,279,9489,113,24,589,115,195,3057,237,30,1536
431,13.10.2020,353243,13711,294767,322,29446,460,189,6395,823,3119,3627,384,30,1536
432,13.11.2019,395482,11330,332527,328,32588,573,229,7902,1178,3939,4572,316,30,1584
433,13.11.2020,343502,12566,286475,310,29062,506,165,6728,881,2959,3663,187,30,1536
434,13.12.2019,436113,7799,377391,315,33451,468,204,6991,993,3177,4939,385,30,1584
435,13.12.2020,157011,3504,144839,72,5548,36,8,414,55,172,2332,31,30,1536
436,14.01.2019,382534,8535,327765,225,29885,336,235,6941,796,3082,4376,358,30,1608
437,14.01.2020,384987,10485,328532,230,29877,418,204,6092,955,3297,4669,228,30,1584
438,14.01.2021,299901,3048,253696,195,28267,341,200,5920,790,3107,4175,162,30,1584
439,14.02.2019,413203,10231,354927,361,31168,427,222,7099,894,3170,4356,348,30,1608
440,14.02.2020,429669,9486,370835,335,32004,418,265,6853,869,3233,5102,269,30,1584
441,14.02.2021,156079,1194,145831,64,5587,25,7,452,45,166,2675,33,30,1512
442,14.03.2019,391970,7035,336790,429,30460,489,267,7151,972,3634,4429,314,30,1584
443,14.03.2020,270766,7687,244567,402,11929,127,24,1351,275,675,3625,104,30,1584
444,14.03.2021,170123,2444,157959,115,6131,47,7,409,33,244,2702,32,30,1512
445,14.04.2019,251484,3797,233451,207,8974,97,31,582,309,308,3549,179,30,1536
446,14.04.2020,225752,8724,180177,255,23400,339,189,5957,646,2995,2912,158,30,1584
447,14.04.2021,322034,9868,266261,350,29166,472,198,7079,962,3748,3707,223,30,1512
448,14.05.2019,400600,16712,333204,414,31762,518,245,7721,1271,3940,4402,411,30,1536
449,14.05.2020,283150,8943,232810,233,26951,386,192,5958,757,3074,3597,249,30,1512
450,14.05.2021,330582,9449,289951,380,19093,334,177,3967,778,2457,3808,188,30,1536
451,14.06.2019,426077,17415,357567,521,33351,642,228,7301,1009,3421,4196,426,30,1536
452,14.06.2020,170490,5898,155594,113,6068,59,7,363,84,133,2100,71,30,1512
453,14.06.2021,363199,18795,296230,410,31473,514,245,7010,984,3320,3957,261,30,1536
454,14.07.2019,244227,10111,219504,483,9675,149,35,699,171,230,2976,194,30,1560
455,14.07.2020,326641,17438,270104,322,26459,397,176,6073,673,1220,3494,285,30,1512
456,14.07.2021,357758,10658,301881,450,30397,480,221,6818,637,2047,3964,205,30,1536
457,14.08.2019,382942,19417,317088,501,31182,534,206,6922,741,1828,3992,531,30,1560
458,14.08.2020,371266,14057,314988,447,27996,450,194,6163,760,2197,3767,247,30,1512
459,14.08.2021,316719,13242,282388,615,14192,196,48,1505,309,479,3532,213,30,1512
460,14.09.2019,340439,12369,305695,480,14872,230,61,1681,297,754,3679,321,30,1536
461,14.09.2020,341092,18352,279608,381,28179,456,230,6215,903,2813,3703,252,30,1536
462,14.09.2021,362831,16605,297602,393,31734,419,219,7175,989,3417,4032,246,30,1512
463,14.10.2019,383281,17266,317512,469,30989,570,257,7348,1004,3251,4192,423,30,1536
464,14.10.2020,358845,13553,300678,350,29768,491,204,6080,870,2964,3557,330,30,1536
465,14.11.2019,406788,11176,343628,400,33379,608,233,7590,1078,3812,4468,416,30,1584
466,14.11.2020,267282,9263,240413,323,11802,134,18,1275,207,673,3025,149,30,1536
467,14.12.2019,359797,5678,331146,288,15044,153,73,1620,356,753,4416,270,30,1584
468,14.12.2020,317886,8555,267280,233,27172,448,185,6250,890,3097,3565,211,30,1536
469,15.01.2019,394763,9707,337683,214,30468,346,212,7094,909,3561,4225,344,30,1608
470,15.01.2020,390701,10577,333014,272,30681,337,218,6284,934,3396,4777,211,30,1584
471,15.01.2021,295769,1248,253204,177,27668,265,202,5316,645,2625,4223,196,30,1584
472,15.02.2019,428312,10555,369753,333,31427,451,225,7012,887,2903,4262,504,30,1608
473,15.02.2020,348325,7276,319192,285,14039,140,53,1436,283,749,4712,160,30,1584
474,15.02.2021,271725,3402,226982,212,26409,364,169,6277,781,3000,3999,130,30,1512
475,15.03.2019,416350,7602,359804,369,31332,505,248,7462,924,3333,4433,338,30,1584
476,15.03.2020,194542,7485,176477,137,6754,40,9,426,93,166,2890,65,30,1584
477,15.03.2021,303808,6861,252889,259,28097,434,193,6638,815,3564,3888,170,30,1512
478,15.04.2019,380704,11980,321296,419,29252,495,244,7378,1151,3592,4524,373,30,1536
479,15.04.2020,227230,9380,180186,287,23636,397,166,6225,713,3170,2920,150,30,1584
480,15.04.2021,326211,9349,270569,379,29577,484,200,6949,1045,3667,3756,236,30,1512
481,15.05.2019,408730,16473,341112,419,31769,589,249,7865,1349,4048,4481,376,30,1536
482,15.05.2020,288067,10557,236867,281,26455,406,206,5902,756,2765,3644,228,30,1512
483,15.05.2021,274735,6340,249849,343,12216,154,19,1471,288,772,3144,139,30,1536
484,15.06.2019,357079,10385,322471,528,16394,220,75,1852,301,803,3727,323,30,1560
485,15.06.2020,338115,14713,280554,423,28068,526,181,6211,823,2927,3360,329,30,1512
486,15.06.2021,367896,19248,299224,388,32084,506,233,7365,1014,3725,3801,308,29,1536
487,15.07.2019,366568,15364,302937,523,31190,582,232,7228,912,3247,3980,373,29,1560
488,15.07.2020,334877,12679,279517,374,27789,483,190,6082,877,3011,3668,207,29,1512
489,15.07.2021,365822,8569,309545,429,30933,474,209,6799,879,3746,4044,195,29,1536
490,15.08.2019,391522,17064,326907,560,30969,526,205,6885,922,2659,4219,606,29,1560
491,15.08.2020,301921,13201,269696,460,12760,229,33,1313,266,333,3291,339,29,1512
492,15.08.2021,249408,9329,225745,404,9771,146,23,578,141,200,2954,117,29,1512
493,15.09.2019,256891,11270,230315,338,10346,197,32,739,182,231,3004,237,29,1536
494,15.09.2020,349365,19655,284861,375,29418,443,204,6339,950,3126,3708,286,29,1536
495,15.09.2021,370882,10977,310423,398,32166,509,224,7304,973,3634,4038,236,29,1512
496,15.10.2019,386162,12376,324400,320,32052,495,193,7164,983,3452,4364,363,29,1536
497,15.10.2020,372191,11273,315532,332,30237,518,213,6030,923,3153,3730,250,29,1536
498,15.11.2019,426279,10296,364638,393,33672,553,265,7286,1022,3196,4564,394,29,1584
499,15.11.2020,181436,6722,165261,83,6240,31,1,475,87,153,2294,89,29,1536
500,15.12.2019,276582,4242,258107,148,9503,76,34,594,131,208,3358,181,29,1584
501,15.12.2020,329630,6735,279130,238,28783,397,182,6312,905,3164,3559,225,29,1536
502,16.01.2019,399115,9402,341794,247,30944,375,195,7249,916,3405,4251,337,29,1608
503,16.01.2020,399203,11295,340333,281,30875,398,186,6446,887,3403,4887,212,29,1584
504,16.01.2021,226590,1252,207855,176,11457,87,16,1382,148,597,3507,113,29,1584
505,16.02.2019,356914,7418,328357,386,13872,156,34,1495,277,741,3944,234,29,1608
506,16.02.2020,266219,5917,246772,139,8752,59,17,514,101,188,3601,159,29,1584
507,16.02.2021,286124,6052,237915,250,26353,360,166,6592,864,3467,3946,159,29,1512
508,16.03.2019,329762,8156,300176,367,13832,156,53,1625,273,787,4080,257,29,1584
509,16.03.2020,308141,12085,252819,292,27958,397,198,6097,855,3099,4111,230,29,1584
510,16.03.2021,311131,7589,258267,329,28699,491,185,6949,913,3546,3972,191,29,1512
511,16.04.2019,385522,12559,324933,398,29462,480,205,7618,1281,3843,4397,346,29,1536
512,16.04.2020,225402,10303,178849,287,22939,378,164,5859,653,2954,2871,145,29,1584
513,16.04.2021,338683,10322,282774,323,29718,490,171,6720,839,3227,3849,250,29,1512
514,16.05.2019,410783,16212,343084,437,32142,605,300,7982,1275,3788,4530,428,29,1536
515,16.05.2020,202399,8890,177916,177,10160,140,13,1207,200,627,2928,141,29,1512
516,16.05.2021,212247,4056,196039,154,8315,85,19,588,152,283,2502,54,29,1536
517,16.06.2019,280510,9205,254762,294,11523,164,34,810,140,219,3140,219,29,1560
518,16.06.2020,349868,15059,290227,381,29126,517,175,6646,905,3099,3460,273,29,1512
519,16.06.2021,372695,19881,302945,334,32404,533,259,7476,1072,3614,3850,327,29,1536
520,16.07.2019,368695,18044,302784,524,30722,482,209,7216,1069,3433,3844,368,29,1560
521,16.07.2020,344564,12932,289072,465,27627,383,183,6076,891,2970,3757,208,29,1512
522,16.07.2021,379570,10463,321153,520,31257,580,162,7125,848,3205,3948,309,29,1536
523,16.08.2019,408079,19435,340637,650,31250,564,235,7061,944,2588,4106,609,29,1560
524,16.08.2020,235499,10327,212779,320,8441,140,9,451,136,151,2626,119,29,1512
525,16.08.2021,355216,15311,294563,459,29644,494,218,6538,742,2801,4222,224,29,1512
526,16.09.2019,378164,18811,311819,409,30897,566,247,6747,1014,3118,4125,411,29,1536
527,16.09.2020,347641,18321,284971,432,28979,456,234,6460,826,2986,3637,339,29,1536
528,16.09.2021,378688,12677,315843,424,32301,478,234,7631,1061,3572,4190,277,29,1512
529,16.10.2019,388774,15534,323887,320,31797,508,233,7220,1029,3449,4370,427,29,1536
530,16.10.2020,385494,11239,329017,361,30569,545,197,6007,842,2764,3735,218,29,1536
531,16.11.2019,346321,6799,317274,317,14549,149,71,1768,290,772,4061,271,29,1584
532,16.11.2020,315162,10581,260787,313,28083,537,215,6662,917,3215,3635,217,29,1536
533,16.12.2019,404571,10595,344497,341,32350,542,204,6836,939,3374,4491,402,29,1584
534,16.12.2020,319499,8345,267233,289,28496,477,200,6469,951,3242,3581,216,29,1536
535,17.01.2019,405665,9278,348762,288,30770,409,188,6956,962,3309,4383,360,29,1608
536,17.01.2020,419043,8613,362354,307,31052,458,199,6538,846,3079,5378,219,29,1584
537,17.01.2021,141619,779,130694,71,6329,32,34,604,44,225,2769,38,29,1584
538,17.02.2019,279994,6839,259361,116,9186,84,17,636,152,182,3240,181,29,1608
539,17.02.2020,380396,9078,323755,211,30812,416,195,6673,817,3229,4957,253,29,1584
540,17.02.2021,284734,7258,235490,230,26630,374,187,6261,753,3450,3943,158,29,1512
541,17.03.2019,253372,4989,234587,135,9142,91,19,495,142,182,3425,165,29,1584
542,17.03.2020,242878,10591,192564,176,24984,399,193,5999,846,2995,3968,163,29,1584
543,17.03.2021,312248,7340,260253,284,28318,474,204,6485,1025,3653,4042,170,29,1512
544,17.04.2019,400510,13992,336998,530,30540,580,241,7610,1400,3808,4386,425,29,1536
545,17.04.2020,235410,11304,187233,290,23277,402,202,6135,693,2811,2879,184,29,1584
546,17.04.2021,257874,7315,231211,335,12820,136,31,1486,267,751,3407,115,29,1512
547,17.05.2019,421540,15763,355163,521,32347,594,274,7396,1183,3334,4519,446,29,1536
548,17.05.2020,144353,8010,128671,52,4635,25,0,387,65,130,2304,74,29,1512
549,17.05.2021,351362,9056,296057,331,29991,563,227,6786,900,3431,3788,232,29,1536
550,17.06.2019,398656,20039,326770,514,33055,615,280,8024,1172,3610,4176,401,29,1560
551,17.06.2020,361976,9993,307006,364,29859,502,179,6318,876,3069,3532,278,29,1512
552,17.06.2021,378841,19843,308789,415,32735,532,219,7309,1040,3749,3882,328,29,1536
553,17.07.2019,371000,18647,304390,493,30716,570,261,7125,1106,3424,3865,403,29,1560
554,17.07.2020,356159,12279,300600,477,28374,499,170,6235,762,2741,3784,238,29,1512
555,17.07.2021,303928,12812,269977,568,14334,235,32,1484,239,645,3500,102,29,1536
556,17.08.2019,335289,11672,301113,550,14588,219,61,1859,292,505,3955,475,29,1560
557,17.08.2020,341108,14825,284772,446,27265,408,225,5950,750,2505,3729,233,29,1512
558,17.08.2021,354789,17271,291847,431,29426,473,228,6766,910,2997,4249,191,29,1512
559,17.09.2019,386117,19370,317647,366,31325,533,218,7356,1023,3736,4148,395,29,1536
560,17.09.2020,359775,18234,296528,381,29553,463,213,6431,898,3040,3771,263,29,1536
561,17.09.2021,395198,16719,328885,413,32658,530,236,7286,950,3139,4080,302,29,1512
562,17.10.2019,394092,14366,330269,408,31992,501,209,7288,912,3351,4418,378,29,1536
563,17.10.2020,298456,7094,272044,360,13139,175,25,1311,237,682,3239,150,29,1536
564,17.11.2019,253789,2740,236397,135,9885,63,35,666,93,190,3413,172,29,1584
565,17.11.2020,325245,12179,268285,330,28858,433,195,6689,961,3368,3766,181,29,1536
566,17.12.2019,411025,11259,349798,360,32015,510,234,7352,1026,3712,4360,399,29,1584
567,17.12.2020,323839,8636,272176,298,28312,427,215,5919,917,3160,3520,259,29,1536
568,18.01.2019,423062,8175,366662,263,31108,347,205,7115,843,3138,4822,384,29,1608
569,18.01.2020,338361,5587,311038,334,14193,153,48,1493,278,727,4378,132,29,1584
570,18.01.2021,288098,3711,241535,273,27922,391,171,5909,787,3128,4120,151,29,1584
571,18.02.2019,392243,11547,332979,352,30954,430,245,6956,992,3157,4317,314,29,1608
572,18.02.2020,388569,11507,328307,313,31144,424,226,7065,948,3454,4819,362,29,1584
573,18.02.2021,292492,7798,241837,240,26933,434,199,6559,791,3596,3891,214,29,1512
574,18.03.2019,396786,11563,334308,346,32935,533,243,7567,960,3546,4460,325,29,1584
575,18.03.2020,226921,10701,178032,235,23759,390,217,5760,872,3044,3767,144,29,1584
576,18.03.2021,314331,7907,261653,321,28599,502,190,6410,910,3615,3963,261,29,1512
577,18.04.2019,399654,14664,338631,588,28781,588,247,6883,1311,3180,4365,416,29,1536
578,18.04.2020,149815,7995,128425,135,8416,65,8,1168,168,569,2748,118,29,1584
579,18.04.2021,181044,4290,166146,112,6507,37,37,566,135,318,2854,42,29,1512
580,18.05.2019,339521,9738,306307,445,14844,212,82,1889,469,990,4144,401,29,1536
581,18.05.2020,277127,12973,223664,294,26019,441,216,5927,778,2966,3536,313,29,1512
582,18.05.2021,356553,11006,298258,318,30691,420,169,7176,953,3651,3684,227,29,1536
583,18.06.2019,399427,20567,326410,449,33225,626,244,7954,1305,3874,4244,529,29,1560
584,18.06.2020,353791,14694,294553,455,29003,494,160,6617,831,3015,3484,485,29,1512
585,18.06.2021,393756,18198,325910,433,32879,533,225,7075,942,3392,3834,335,29,1536
586,18.07.2019,371358,18138,305734,548,30603,543,234,6915,1012,3375,3853,403,29,1560
587,18.07.2020,275468,11415,246013,462,12019,169,20,1216,280,575,3143,156,29,1512
588,18.07.2021,238477,11588,213513,397,9019,140,10,587,132,188,2808,95,29,1536
589,18.08.2019,262144,10505,236057,389,10320,179,33,771,188,178,3128,396,29,1560
590,18.08.2020,342361,16157,284298,336,27321,472,204,6092,788,2693,3730,270,29,1512
591,18.08.2021,360826,16514,297659,464,30100,465,208,6918,817,3061,4413,207,29,1512
592,18.09.2019,388822,18195,321975,457,31293,559,251,7099,1011,3392,4196,394,29,1536
593,18.09.2020,371206,17680,309280,463,29562,494,207,6057,813,2577,3802,271,29,1536
594,18.09.2021,335951,12959,300545,419,15341,165,37,1612,330,667,3694,182,29,1512
595,18.10.2019,419358,11991,356804,412,33173,615,240,7208,997,3102,4409,407,29,1536
596,18.10.2020,221646,5899,204169,235,7991,86,5,508,77,141,2477,58,29,1536
597,18.11.2019,392046,9519,332291,316,32477,471,229,7284,905,3292,4882,380,29,1584
598,18.11.2020,328193,12141,270900,348,28919,573,203,6739,1068,3439,3656,207,29,1536
599,18.12.2019,419876,10566,359512,346,32104,451,264,7068,1054,3632,4497,382,29,1584
600,18.12.2020,338158,8943,286916,309,28042,466,185,5763,908,2777,3540,309,29,1536
601,19.01.2019,338256,4510,312926,280,13477,144,60,1513,251,695,4149,251,29,1608
602,19.01.2020,244268,3262,227726,128,9098,59,14,485,100,139,3214,43,29,1584
603,19.01.2021,296157,4714,247638,260,28206,387,167,6239,890,3346,4159,151,29,1584
604,19.02.2019,400239,12077,339299,322,31356,523,232,7326,1064,3383,4328,329,29,1608
605,19.02.2020,389399,9951,332215,271,30277,439,193,6649,910,3562,4670,262,29,1584
606,19.02.2021,303622,7958,253295,307,27018,471,151,6425,843,3100,3898,156,29,1512
607,19.03.2019,408555,12814,344252,340,33258,469,245,7708,964,3612,4480,413,29,1584
608,19.03.2020,227518,10662,178078,221,24008,381,247,6107,766,3195,3679,174,29,1584
609,19.03.2021,329157,7482,277491,336,28678,491,192,6440,803,3058,4010,176,30,1512
610,19.04.2019,250221,8784,227575,256,8732,116,31,600,389,324,3217,197,29,1536
611,19.04.2020,112530,6916,98410,57,4022,15,6,366,45,167,2430,96,29,1584
612,19.04.2021,313839,10319,258708,308,28319,424,213,7156,875,3350,3956,211,29,1512
613,19.05.2019,260292,6792,238850,244,9661,130,28,668,210,239,3265,205,29,1536
614,19.05.2020,285084,14301,229441,305,25941,417,214,6236,870,3283,3621,455,29,1512
