,Datum,Lufttemperatur,Regen in 1 h,Regen in 24 h,Regen in 48 h,Anzahl Stationen,Anzahl Messungen
28,2020-05-15,12.514014590909088,0.010818181818181815,0.6578181818181871,11.600636363636317,97,2200
29,2020-05-16,14.189611558219168,0.029537671232876712,0.641695205479452,1.35830479452055,107,2336
30,2020-05-17,16.17797425200165,0.0032869785082174467,0.5930889169827231,1.367045933417615,111,2373
31,2020-05-18,18.481124893617036,0.005617021276595745,0.15548936170212752,0.7555744680851073,108,2350
32,2020-05-19,20.681736457901277,0.004230609705516383,0.170800497718789,0.36283699709664147,108,2411
33,2020-05-20,21.00844094304389,0.0015873015873015875,1.505042016806722,1.658823529411763,108,2142
34,2020-05-21,21.52564081548598,0.00041186161449752884,1.2491762767710068,2.9116968698517267,107,2428
35,2020-05-22,22.38250502264305,0.0005763688760806917,0.008727871552079044,1.2582132564841508,107,2429
36,2020-05-23,16.380279040404037,0.46237373737373966,7.623148148148135,7.633585858585845,106,2376
37,2020-05-24,15.259435306553902,0.02520084566596194,10.15162790697686,18.133953488372114,107,2365
38,2020-05-25,16.306068794624125,0.0018479630407391855,0.13574128517429654,10.331709365812818,106,2381
39,2020-05-26,17.728037546777543,0.019875259875259878,0.12823284823284806,0.27900207900207846,108,2405
40,2020-05-27,19.054313494377304,0.014160766347355268,0.08846314035818408,0.1993336109954184,107,2401
41,2020-05-28,18.961592685950468,0.0009090909090909092,0.048512396694214935,0.11289256198347095,107,2420
42,2020-05-29,18.97101850443601,0.005914659907055344,0.114828897338403,0.16603295310519642,106,2367
43,2020-05-30,17.95500354019161,0.004164931278633903,0.1605164514785504,0.2773011245314452,106,2401
44,2020-05-31,18.257781606325448,0.007906783187682065,0.1879317519766955,0.3559717020391177,106,2403
45,2020-06-01,20.742752914427452,0.0006614303431169905,0.14973129392310858,0.33956180239768535,106,2419
46,2020-06-02,22.456168873355246,0.0012335526315789477,0.04161184210526317,0.1920230263157893,106,2432
47,2020-06-03,21.72630568086887,0.03542188805346705,0.31929824561403525,0.3633249791144531,106,2394
48,2020-06-04,17.327211380354814,0.3094764171354388,8.653137170056237,8.977931631328428,106,2311
49,2020-06-05,14.958879238754335,0.07474048442906578,3.318252595155732,11.95804498269896,108,2312
50,2020-06-06,16.035453088165962,0.14040546911834018,1.8170674210278162,5.28184818481847,105,2121
51,2020-06-07,14.94298808817295,0.13310724883425168,6.213480288257739,8.081814328105118,107,2359
52,2020-06-08,15.953467731092449,0.024453781512605043,0.9489915966386527,7.110168067226902,109,2380
53,2020-06-09,13.968601419965573,0.04182444061962147,2.187177280550771,3.1037865748709073,103,2324
54,2020-06-10,15.592721750212377,0.010620220900594729,1.5954120645709275,3.8368734069668524,108,2354
55,2020-06-11,18.407190185991297,0.010447170557973878,0.34934705184012743,1.8337158686189021,120,2527
56,2020-06-12,21.10507524020693,0.00450849963045085,0.28300073909830253,0.6065040650406552,119,2706
57,2020-06-13,18.441596568814326,0.181090354555852,1.3267251239039264,1.6199008768585614,118,2623
58,2020-06-14,17.851420068415038,0.03215507411630563,5.7372862029646585,7.17042949448881,118,2631
59,2020-06-15,19.273131716559316,0.0012125805229253506,0.19931792345585397,5.924062144751804,119,2639
60,2020-06-16,19.185159103002654,0.04135309768148996,0.3504370961611549,0.5319650323071069,117,2631
61,2020-06-17,16.05146863439591,0.400472255017711,7.5428571428571365,7.916253443526164,113,2541
62,2020-06-18,17.01614384965832,0.08952164009111614,7.497494305239205,14.8856492027335,118,2634
63,2020-06-19,17.433014754716975,0.08415094339622631,2.1908679245282974,9.757056603773597,120,2650
64,2020-06-20,19.09197839252339,0.010915887850467286,1.6367850467289602,3.7797383177570274,120,2675
65,2020-06-21,21.60332599399851,0.006901725431357839,0.07126781695423845,1.7402100525131179,119,2666
66,2020-06-22,22.669870472008753,0.005415294548115624,0.11481888035126225,0.2199048664471278,119,2733
67,2020-06-23,23.22365898004441,0.0006651884700665187,0.08640059127863997,0.20480413895048039,119,2706
68,2020-06-24,24.68588747724793,0.0008008736803785948,0.023734983618492925,0.11022934109938091,120,2747
69,2020-06-25,25.378517089552247,0.004925373134328359,0.05828358208955221,0.08320895522388065,120,2680
70,2020-06-26,23.01263880597021,0.2938805970149256,3.1261940298507427,3.182686567164171,118,2680
71,2020-06-27,24.115530178837545,0.07153502235469442,6.652384500745194,9.942324888226539,119,2684
72,2020-06-28,22.87019004072564,0.13098852276934456,1.761125509070713,8.584228063680131,119,2701
73,2020-06-29,20.223977090363636,0.09486314210723623,6.444619422572194,8.283989501312321,119,2667
74,2020-06-30,22.182222792759518,0.0069449575175471005,1.0602881418544494,7.465829331363125,120,2707
75,2020-07-01,25.094942429770175,0.0024808464064210146,0.169573148485954,1.1529368843487735,121,2741
76,2020-07-02,22.061425527272757,0.0436363636363637,1.1402909090909108,1.2591272727272769,118,2750
77,2020-07-03,21.136152349486014,0.0019089574155653451,0.6242290748898703,1.8022760646108726,118,2724
78,2020-07-04,21.54913953744493,0.0005873715124816446,0.1848017621145373,0.8196035242290769,119,2724
79,2020-07-05,24.23365659747963,0.00014825796886582654,0.0799851742031133,0.26767976278725053,118,2698
80,2020-07-06,21.485674738023945,0.013922155688622758,0.2520209580838322,0.3354790419161678,116,2672
81,2020-07-07,19.8062307463795,0.0029706646862235424,0.3253620497586341,0.577125881916081,120,2693
82,2020-07-08,22.159867596330358,0.08704587155963303,1.373504587155963,1.6973944954128413,121,2725
83,2020-07-09,25.498327934186563,0.006508226691042046,1.3280438756855588,1.6353930530164504,124,2735
84,2020-07-10,25.182471818181835,0.06494545454545454,0.22640000000000013,0.5413090909090913,120,2750
85,2020-07-11,21.998780642831395,0.005633802816901409,0.9100758396533016,1.0829180209461877,121,2769
86,2020-07-12,21.45862196531787,0.002167630057803468,0.23273121387283227,0.6475433526011599,120,2768
87,2020-07-13,22.41817974452554,0.00043795620437956203,0.04233576642335766,0.1888321167883209,121,2740
88,2020-07-14,23.194523680404888,0.005133767172812726,0.03304410701373825,0.0745480838756327,122,2766
89,2020-07-15,19.950750360230547,0.024423631123919327,0.23559077809798296,0.2698847262247845,122,2776
90,2020-07-16,17.689312633912092,0.06944957517547093,1.124344292574805,1.3546361285555908,122,2707
91,2020-07-17,18.807211577060897,0.07634408602150514,2.542508960573476,3.4400716845878203,123,2790
92,2020-07-18,21.182491305903394,0.0032915921288014308,0.5915563506261219,3.0550983899821116,122,2795
93,2020-07-19,22.9845462729564,0.0024486856319769533,0.019949585884047546,0.6309686712279466,121,2777
94,2020-07-20,25.286865435640003,0.001003944065973467,0.03062029401219076,0.07178200071710279,121,2789
95,2020-07-21,24.197456611865604,0.0005003573981415296,0.041601143674052946,0.07412437455325216,122,2798
96,2020-07-22,24.308833939818097,0.005458362491252624,0.643946815955214,0.6895731280615823,126,2858
97,2020-07-23,24.425412517099918,0.021272229822161422,1.5634062927496581,2.430506155950754,129,2924
98,2020-07-24,22.089362329700293,0.010490463215258846,0.8263623978201591,2.8074931880108913,126,2936
99,2020-07-25,23.86205707934337,0.0006155950752393981,0.3000683994528071,1.1473324213406133,126,2924
100,2020-07-26,24.183550187393468,0.0041567291311754686,0.14364565587734032,0.449948892674624,126,2935
101,2020-07-27,26.481351928374618,0.00013774104683195594,0.08071625344352616,0.22665289256198318,125,2904
102,2020-07-28,26.02721461619344,0.005608131791097089,0.08040658955485437,0.1634069400630905,123,2853
103,2020-07-29,24.957168306394944,0.004075895994378075,0.15502459592410348,0.2413914265635981,124,2846
104,2020-07-30,26.08513175371842,0.010238671739882393,0.1426496022137669,0.2968523002421304,124,2891
105,2020-07-31,29.29548299343241,0.018250950570342206,0.26173522295195284,0.4038022813688213,125,2893
106,2020-08-01,28.726625665529024,0.41587030716723533,0.8456996587030711,1.3144368600682588,125,2930
107,2020-08-02,20.934278997613376,0.3243777702011602,16.42942379815885,17.799113535628994,124,2933
108,2020-08-03,18.193636869206998,0.24819773429454198,10.215791280466908,26.724167524888426,125,2913
109,2020-08-04,16.24753282653767,0.31651693158258465,12.17836903939185,22.522322045611528,126,2894
110,2020-08-05,19.463080271398763,0.01343075852470426,5.517536534446806,17.518649965205285,125,2874
111,2020-08-06,22.59827239348806,0.0011084170419120194,0.559889158295811,6.118531347419508,125,2887
112,2020-08-07,25.425449760601946,0.06573187414500684,0.16942544459644315,0.7252393980848192,126,2924
113,2020-08-08,27.057051557685703,0.0002738788086271825,0.07175624786032177,0.1791852105443339,125,2921
114,2020-08-09,27.45280990030943,0.0016500515641113787,0.0338260570642833,0.10718459951873475,124,2909
115,2020-08-10,27.358667125171976,0.002751031636863824,0.08060522696011,0.1147180192572214,124,2908
116,2020-08-11,27.99406185389387,6.891798759476224e-05,0.10234321157822177,0.1873190902825637,124,2902
117,2020-08-12,27.126688953488433,0.0006155950752393981,0.03474692202462379,0.1424076607387141,123,2924
118,2020-08-13,26.41677975206615,0.01887052341597796,0.4302341597796152,0.46707988980716336,126,2904
119,2020-08-14,22.587812027257275,0.10480408858603057,1.4417717206132914,1.8682793867121013,125,2935
120,2020-08-15,24.354235440414442,0.0022107081174438685,1.8980310880828821,3.368566493955084,126,2895
121,2020-08-16,24.915744994804278,0.02805680637339799,0.08236924142708697,1.9726359542777747,125,2887
122,2020-08-17,21.48801271393644,0.25511701012923615,13.812644079636769,14.045616486203308,125,2863
123,2020-08-18,21.155055000000022,0.2475694444444444,3.166319444444446,17.1035416666667,124,2880
124,2020-08-19,21.889303755215607,0.012656467315716279,5.750973574408913,9.028581363004156,124,2876
125,2020-08-20,27.448452578746977,0.023952924887504327,0.13243336794738658,5.83786777431639,125,2889
126,2020-08-21,28.316304630269578,0.0016586040082930203,0.08362128541810641,0.24360746371803704,125,2894
127,2020-08-22,23.251445736969302,0.09962029685881914,2.01277183293062,2.092509492578532,125,2897
128,2020-08-23,21.269803275011213,0.0005383580080753702,1.6175863615971282,3.310632570659489,124,2229
129,2020-08-24,23.44204048027449,0.039908519153802176,0.05111492281303602,0.2188679245283017,127,1749
130,2020-08-25,20.888252706950723,0.00013971358714634998,0.00027942717429269996,0.020537897310513458,125,2863
131,2020-08-26,23.806170272180953,0.00402969247083775,0.13976670201484617,0.13990809473312116,124,2829
132,2020-08-27,20.80240391887245,0.00020625644551392234,0.16933654176693008,0.3086971467858373,125,2909
133,2020-08-28,17.670186227336128,0.3110878661087875,3.3213389121338976,3.4889818688981906,125,2868
134,2020-08-29,15.203119530154302,0.051332398316970576,7.168653576437602,10.582398316970487,122,2852
135,2020-08-30,14.012873157707375,0.6497686009255971,13.657102171591307,20.870558917764352,119,2809
136,2020-08-31,15.51942859145059,0.18002803083391697,11.267484232655956,24.760616678346167,125,2854
137,2020-09-01,16.39719808578516,0.1810705423608641,8.219567529244989,19.559943282523843,122,2821
138,2020-09-02,17.98265414897724,0.020378232342724827,1.4857583944422936,9.733925125434201,123,2591
139,2020-09-03,18.124387375178298,0.0007845934379457918,0.09087018544935792,1.5999286733238134,122,2804
140,2020-09-04,21.40593815417251,0.005021216407355021,0.07157001414427154,0.16152758132956105,123,2828
141,2020-09-05,22.19201863988727,0.0007047216349541931,0.054404510218463736,0.1259337561663141,122,2838
142,2020-09-06,17.595917203924287,0.0009810791871058162,0.04505956552207433,0.10574632095304821,124,2854
143,2020-09-07,17.56791458913649,0.006615598885793871,0.09714484679665729,0.14199164345403856,124,2872
144,2020-09-08,18.22108483165568,0.00013884068031933357,0.08823325234293632,0.18604651162790653,123,2881
145,2020-09-09,20.11234806282722,0.017312390924956376,0.028621291448516578,0.11804537521814988,125,2865
146,2020-09-10,20.19240980460572,0.0012561060711793446,0.036985345429169585,0.0489881367759944,124,2866
147,2020-09-11,20.81378565459608,0.002855153203342618,0.07012534818941503,0.10947075208913652,123,2872
148,2020-09-12,21.736913493723872,6.97350069735007e-05,0.04386331938633197,0.11248256624825663,124,2868
149,2020-09-13,21.541452193593322,0.0,0.04846796657381619,0.09491643454038988,124,2872
150,2020-09-14,22.671024991334427,6.932409012131716e-05,0.008180242634315429,0.05698440207972273,123,2885
151,2020-09-15,23.831135361613338,0.0006954102920723226,0.014603616133518774,0.02336578581363004,124,2876
152,2020-09-16,22.9270279986053,0.05739191073919106,0.5246164574616458,0.5394002789400281,125,2868
153,2020-09-17,20.94693842750169,0.009053778080326747,2.189720898570443,2.9388019060585404,131,2938
154,2020-09-18,20.727016078697364,0.004952510176390774,0.0868385345997286,2.4614654002713525,132,2948
155,2020-09-19,19.749008327868857,0.00026229508196721314,0.04262295081967214,0.13140983606557347,131,3050
156,2020-09-20,19.928510673608862,0.005011389521640091,0.06059225512528472,0.10263586072242097,132,3073
157,2020-09-21,19.874098623402187,0.002622091117666339,0.100557194362504,0.16217633562766284,132,3051
158,2020-09-22,19.66495069964206,0.06989912137975914,0.5362837617962909,0.6346241457858773,131,3073
159,2020-09-23,18.72434973544972,0.04490740740740744,2.741600529100517,3.2877645502645425,132,3024
160,2020-09-24,18.069071536441264,0.13906762967826627,1.5690741956664438,4.351871306631647,131,3046
161,2020-09-25,11.8643517207148,0.2379219060225022,6.029252150893463,7.590205162144266,132,3022
162,2020-09-26,9.252860370994938,0.12748735244519335,3.710961214165279,9.69369308600337,130,2965
163,2020-09-27,10.375928386454193,0.03964143426294841,3.04415670650731,6.760159362549823,130,3012
164,2020-09-28,11.486890761050203,0.06035227650382191,0.4849451645064831,3.5277500830840864,132,3009
165,2020-09-29,12.160876404494347,0.3125045306270403,9.83138818412468,10.362595143167825,130,2759
166,2020-09-30,13.75655428476159,0.016805601867289095,2.3410470156718683,12.260753584528203,132,2999
167,2020-10-01,12.915750462351395,0.07344782034346081,0.7875165125495389,3.1431307793923158,131,3028
168,2020-10-02,12.879059352517993,0.009287115761935897,2.148724656638284,2.9572923479398163,132,3058
169,2020-10-03,11.41202356396866,0.307930809399479,7.0099543080939934,9.116024804177542,133,3064
170,2020-10-04,14.321267370129888,0.12233766233766223,7.159902597402729,14.257597402597447,134,3080
171,2020-10-05,11.129159104282449,0.09610983981693291,3.147368421052627,10.375907159202349,131,3059
172,2020-10-06,13.252209482200634,0.1526860841423942,2.417411003236245,5.564660194174749,133,3090
173,2020-10-07,12.491517422279824,0.04170984455958566,3.8393134715025976,6.273898963730552,136,3088
174,2020-10-08,14.256731180400896,0.006490614062997136,0.6374801145402477,4.375437480114544,137,3143
175,2020-10-09,15.090034808917181,0.0012101910828025478,0.08152866242038195,0.7259872611464885,136,3140
176,2020-10-10,12.035499647887272,0.18796414852752893,4.658962868117799,4.741997439180538,136,3124
177,2020-10-11,8.320742318656942,0.12315489388660088,3.2605638264174863,7.910928096293954,138,3157
178,2020-10-12,7.698235496062996,0.03200000000000012,2.768881889763771,6.048881889763826,138,3175
179,2020-10-13,8.316183998752349,0.0028072364316905807,0.8310043668122212,3.6634435433561863,138,3206
180,2020-10-14,8.47141525476711,0.00043763676148796495,0.3067833698030644,1.173991872460133,138,3199
181,2020-10-15,7.557452918901858,0.08652571789207922,0.6872199431997478,0.9978542126853917,138,3169
182,2020-10-16,9.478033597464343,0.01515055467511886,2.2636450079239148,3.002091917591124,137,3155
183,2020-10-17,8.994581534543148,0.1203438395415466,3.2296720789557307,5.457115568290377,136,3141
184,2020-10-18,9.187846335325565,0.020006291286568136,1.153570305127386,4.4451714375590115,137,3179
185,2020-10-19,9.131029749216305,0.003072100313479624,0.129278996865203,1.323573667711585,138,3190
186,2020-10-20,10.950656973478967,0.0004992199687987519,0.04673946957878317,0.17940717628705086,139,3205
187,2020-10-21,14.941321482649824,0.003217665615141956,0.03268138801261833,0.07375394321766553,136,3170
188,2020-10-22,13.900963052334683,0.0893763710435594,0.763334377937951,0.8115951112503924,139,3191
189,2020-10-23,13.365115948963345,0.33795853269537485,8.054944178628396,8.836921850079731,136,2508
190,2020-10-24,13.395278765201116,0.11075771749298355,8.63479887745558,17.348799501091364,138,3207
191,2020-10-25,12.241366726726747,0.003123123123123122,0.3056456456456488,9.244864864864878,139,3330
192,2020-10-26,8.77605968404424,0.46780410742496215,10.671721958925769,10.991532385466039,137,3165
